Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
VerSe Innovation,2007,Bangalore,Innovation Management,IT,Owner of Dailyhunt App and I-Pay,Virendra Gupta,"Canaan Valley Capital, Glade Brook Capital Partners","$1,000,000,000",Series H
Imagimake,2011,Mumbai,Innovation management,IT,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah","$500,000",Pre-series A
Policybazaar,2008,Gurgaon,Insurance,Finance,PolicyBazaar designs an online life insurance and general insurance comparison portal that analyzes financial products.,"Alok Bansal, Avaneesh Nirjar, Manoj Sharma, Tarun Mathur, Yashish Dahiya","Falcon Edge Capital, White Oak Global Advisors","$75,000,000",
GramCover,2016,Noida,Insurance,Finance,GramCover is a tech-enabled insurance marketplace for rural India.,Dhyanesh Bhatt,"Siana Capital, Inflexor Ventures, Stride Ventures","$7,000,000",Series A
Pazcare,2020,Bangalore,Insurance,Finance,Paz Care is India's leading Employee Benefits & Health insurance platform,"Sanchit Malik, Manish Mishra","BEENEXT, 3one4 Capital","$3,500,000",Seed
Acko,2016,Bangalore,Insurance,Finance,ACKO is India’s first and fastest growing InsurTech company which makes buying and using insurance effortless.,"Varun Dua, Ruchi Deepak","General Atlantic, Multiples","$255,000,000",Series D
Probus Insurance,2002,Mumbai,Insurance,Finance,Probus Insurance is a leading InsurTech platform in India.,Rakesh goyal,BlueOrchard Impact Investment Managers,"$6,700,000",
Insurance Samadhan,2018,New Delhi,Insurance,Finance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL","$725,000",Pre-series A
Insurance Samadhan,2018,New Delhi,Insurance,Finance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL","$725,000",Pre-series A
SecureNow,2011,Gurgaon,Insurance,Finance,SecureNow is an award winning tech-enabled insurance intermediary.,"Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,"$6,000,000",Series B
Finsall,2019,Bangalore,Insuretech,FinTech,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,"$300,000",Seed
Riskcovry,2018,Bangalore,InsureTech,FinTech,"Riskcovry is an ""Insurance-in-a-box” model offers a one-stop-shop platform to cater to any business's digital insurance needs.","Suvendu Prusty, Sorabh Bhandari, Vidya Sridharan, Chiranth Patil","Better Capital, Bharat Inclusion Seed Fund","$5,000,000",Series A
Turtlemint,2015,Mumbai,InsureTech,FinTech,Turtlemint is an online insurance platform that identifies and purchases appropriate insurance policies for consumers.,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Jungle Ventures,"$45,000,000",Series D
Vital,2018,New Delhi,Insuretech,FinTech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,"$3,000,000",Pre-series A
RenewBuy,2015,Gurgaon,Insuretech,FinTech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management","$45,000,000",Series C
PazCare,2021,Bangalore,Insuretech,FinTech,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,"Ashish Hemrajani, Parikshit Dar",,
Bimaplan,2020,Bangalore,Insuretech,FinTech,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik","$2,500,000",Pre-series A
Digit Insurance,2016,Bangalore,Insuretech,FinTech,"Digit becomes the first Unicorn of 2021, valued at $1.9B.",Kamesh Goyal,"Faering Capital, Sequoia Capital India, IIFL Alternate Asset Managers","$200,000,000",
Kenko Health,2019,Mumbai,Insuretech,FinTech,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios","$1,700,000",Pre-series A
HomeLane,2014,Bangalore,Interior Design,Services,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund","$50,000,000",Series E
HomeLane,2014,Bangalore,Interior Design,Services,"Tech-empowered teams have delivered over 20,000 homes across 16 cities over the last 7 years.",Srikanth Iyer,"IIFL AMC, Oman India Joint Investment Fund","$50,000,000",Series E
OneCode,2020,Bangalore,Internet,Internet,"OneCode is a platform which connects new age digital first brands with ""relevant"" sellers (aka OneCoders) to sell their products and services","Manish Shara, Yash Desai","Sequoia’s Surge, Nexus Venture Partners","$5,000,000",
Inshorts,2013,Noida,Internet,Internet,Built Inshorts with a promise to deliver news,Azhar Iqubal,Vy Capital,"$60,000,000",
MyMobiForce,2018,Noida,Internet,Internet,"Crowdsourcing platform imparting best-in-class services with immensely talented, skilled & qualified workforce pan-India","Dheeraj Khatter, Himanshu Kumar, Kshitiz Saini",Bharat Inclusion,"$1,400,000",Pre-series A
Fleek,2021,Bangalore,Internet,Internet,Fleek helps track & manage subscriptions in one place.,"Aditya Uttaravalli, Arvind Eashwar",Axilor,"$1,000,000",Seed
Fleek,2021,Bangalore,Internet,Internet,Fleek helps track & manage subscriptions in one place.,"Aditya Uttaravalli, Arvind Eashwar",Axilor,"$1,000,000",Seed
MergerDomo,2018,New Delhi,Investment Banking,Finance,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,Hormazd Charna,Nadir B Godrej,"$500,000",
Sanctum Wealth,2016,Mumbai,Investment Management,Finance,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,Shiv Gupta,The Xander Group,"$10,000,000",
Dezerv.,2021,Mumbai,Investment Management,Finance,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India","$7,000,000",Seed
Sanctum Wealth,2016,Mumbai,Investment Management,Finance,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,Shiv Gupta,The Xander Group,"$10,000,000",
Dezerv.,2021,Mumbai,Investment Management,Finance,"Integrated Portfolios designed by experts with decades of investing, Unique access to pre-IPO and startup investing","Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India","$7,000,000",Seed
Probus,2017,New Delhi,IoT,Services,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.","Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,"$500,000",Bridge
Thingsup,2020,Pune,IoT platform,Services,Thingsup is an Enterprise Grade IoT Platform.,"Akshay Ghadage, Pranav Naiknavare",GSF Accelerator,"$1,000,000",
Chalo,2014,Mumbai,IT,IT,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures","$7,000,000",
Dybo,2019,Bangalore,IT,IT,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,"$100,000",Seed
Gumlet,2019,Bangalore,IT,IT,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,"$1,600,000",
Bandhoo,2020,Gurgaon,IT,IT,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,"$1,000,000",
ixigo,2007,Gurgaon,IT,IT,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge","$53,000,000",
Leegality,2016,Gurgaon,IT company,IT,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",Shivam Singla,"IIFL, Mumbai Angels",,Pre-series A
ORAI,2020,Bangalore,IT startup,IT,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,"$400,000",Pre-series A
Rubix Data Sciences,2018,Mumbai,IT startup,IT,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",Mohan Ramaswamy,,"$800,000",Seed
IntelleWings,2019,Panchkula,IT startup,IT,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,,"$100,000",Seed
Airblack,2019,Gurgaon,IT startup,IT,Airblack is on a mission to help people convert their passion to a livelihood.,"Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital","$5,200,000",Series A
Hesa,2020,Hyderabad,IT startup,IT,HESA is connecting Bharat with India and India with Bharat Phygitally. We are bridging the gap for the world’s largest customer base that resides in rural India.,"Vamsi Udayagiri, Hema Nandiraju","Venture Catalysts, 9Unicorns","$2,000,000",Seed
Knackit,2019,Bangalore,IT startup,IT,Knackit is a talent sharing platform where users can showcase and monetize their artistry.,"Pranjal Kumar, Akanksha Bhardwaj",Jyoti Bansal,"$100,000",
Jobsgaar,2020,New Delhi,Job discovery platform,Internet,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,"$140,000",Seed
Vakilsearch,2010,Chennai,Legal Services,Legal,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",Hrishikesh Datar,InCorp India,"$10,000,000",
Legalwiz.in,2015,Ahmedabad,Legaltech,Legal,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,"$500,000",
Legitquest,2017,New Delhi,LegalTech,Legal,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge","$600,000",
Bombay Shaving Company,2015,New Delhi,Lifestyle,Consumer Goods,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Rajesh Sud, KULDEEP JAIN","$2,000,000",
House of Kieraya,2013,Bangalore,Lifestyle,Services,"House of Kieraya, well-known for furniture and lifestyle rental brand Furlenco",Ajith Mohan Karimpana,TradeCred,"$15,000,000",
Locale.ai,2019,Bangalore,Location Analytics,Analytics,Location Analytics for Companies With Moving Assets and Ground Operations.,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital","$1,000,000",
moEVing,2021,Gurgaon,Logistics,Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,,"$1,000,000",Seed
Celcius,2020,Mumbai,Logistics,Logistics,The “ONLINE” Cold Chain network for Reefer trucks and Cold storage facilities.,"Swarup Bose, Rajneesh Raman, Arbind Jain",Eaglewings Ventures,,Seed
Delhivery,2011,Gurgaon,Logistics,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC","$270,000,000",Series H
Locus,2015,Bangalore,Logistics,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners","$50,000,000",Series C
Holisol,2009,New Delhi,Logistics,Logistics,HoliSol Logistics Is a Supply Chain Operations Company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners","$3,000,000",
Shyplite,2016,New Delhi,Logistics,Logistics,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain, Sugam Jain, Parinay Itkan",N+1 Capital,"$1,000,000",
Kale Logistics,2010,Thane,Logistics,Logistics,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,"$5,000,000",Series A
Dropshop,2019,Bangalore,Logistics,Logistics,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,"$1,000,000",Pre-series A
Wherehouse.io,2020,New Delhi,Logistics,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,,Seed
GoBolt,2015,Gurgaon,Logistics,Logistics,"GoBOLT is a tech-logistics company operating in Line Haul & Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.","Naitik Baghla, Parag Aggarwal, Sumit Sharma","Paragon Partners, Aavishkaar Capital","$20,000,000",Series B
3SC,2018,Gurgaon,Logistics,Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,"$15,000,000",Series B
Captain Fresh,2019,Bangalore,Logistics,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Accel Partners, Matrix India","$12,000,000",Series A
Shiprocket,2012,New Delhi,Logistics,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"Saahil Goel, Akshay Ghulati","March Capital, Tribe Capital","$41,000,000",Series D1
Smart Express,,Mumbai,Logistics,Logistics,India’s Most Innovative and Awarded Express Logistics Company.,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company","$10,000,000",Seed
Celcius,2020,Mumbai,Logistics,Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners","$500,000",
BlackBuck,2015,Bangalore,Logistics & Supply Chain,Logistics,BlackBuck marks the beginning of a new path in trucking. A path that is organized and makes trucking simple for every shipper and trucker.,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF","$67,000,000",Series E
Kirana247,2018,New Delhi,Logistics & Supply Chain,Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,"$1,000,000",
Kirana247,2018,New Delhi,Logistics & Supply Chain,Logistics,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,"Tarun Jiwarajka, Pankhuri Jiwarajka",,"$1,000,000",Pre-series A
Wiz Freight,2020,Chennai,Logistics & Supply Chain,Logistics,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,"$3,500,000",Seed
Pickrr,2015,Gurgaon,Logistics & Supply Chain,Logistics,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital","$12,000,000",Series B
QuickShift,2016,Pune,Logistics & Supply Chain,Logistics,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,"Anicut Angel Fund, Axilor Ventures","$770,000",Seed
StackBOX,2016,Bangalore,Logistics & Supply Chain,Logistics,DISTRIBUTION SIMPLIFIED,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group","$1,200,000",
Delhivery,2011,Gurgaon,Logistics & Supply Chain,Logistics,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition","$125,000,000",
Zypp Electric,2017,Gurgaon,Logistics & Supply Chain,Logistics,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures","$7,000,000",Series A
Godamwale,2016,Mumbai,Logistics & Supply Chain,Logistics,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000 #REF!,,
Delhivery,2011,Gurgaon,Logistics & Supply Chain,Logistics,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,Addition,"$76,000,000",Series I
Cogos Technologies,2016,Bangalore,Logistics & Supply Chain,Logistics,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad Sreeram,Transworld Group,"$2,000,000",Pre-series A
Porter,2014,Bangalore,Logistics & Supply Chain,Logistics,Porter is India's Largest Marketplace for Intra-City Logistics.,"Pranav Goel, Uttam Digga, Vikas Choudhary","Tiger Global, Vitruvian Partners","$100,000,000",Series E
Delhivery,2011,Gurgaon,Logistics & Supply Chain,Logistics,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,"Lee Fixel’s venture capital firm, Addition","$125,000,000",
Zypp Electric,2017,Gurgaon,Logistics & Supply Chain,Logistics,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.","Akash Gupta, Rashi Agarwal","9Unicorns, Anthill Ventures","$7,000,000",Series A
Godamwale,2016,Mumbai,Logistics & Supply Chain,Logistics,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000 #REF!,,
Delhivery,2011,Gurgaon,Logistics & Supply Chain,Logistics,Delhivery is a leading logistics and supply chain services company in India.,Sahil Barua,Addition,"$76,000,000",Series I
Cogos Technologies,2016,Bangalore,Logistics & Supply Chain,Logistics,A smart-tech-enabled platform offering a one-stop destination for all the intra-city link-supply chain.,Prasad Sreeram,Transworld Group,"$2,000,000",Pre-series A
Leap India,2013,Mumbai,Logistics & Supply Chain,Logistics,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",Anurag Malempati,CDC Group,"$10,000,000",
Captain Fresh,2019,Bangalore,Logistics & Supply Chain,Logistics,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Tiger Global, Prosus Ventures","$40,000,000",Series B
Unbox Robotics,2019,Pune,Logistics & Supply Chain,Logistics,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures","$7,000,000",Series A
RIPPLR,2019,Bangalore,Logistics & Supply Chain,Logistics,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures","$12,000,000",Pre-series B
PredictiVu,2020,Gurgaon,Management Consulting,Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",,Kunal Sarkar,"$1,500,000",Pre-seed
PredictiVu,2020,Gurgaon,Management Consulting,Consulting,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",,Kunal Sarkar,"$1,500,000",Pre-seed
Peak,2014,Manchester,Information Technology & Services,IT,Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,"$75,000,000",Series C
Peak,2014,Manchester,Information Technology & Services,IT,Peak helps the world's smartest companies put the power of AI at the center of all commercial decision making with Decision Intelligence,Atul Sharma,SoftBank Vision Fund 2,"$75,000,000",Series C
Karkhana.io,2018,Mumbai,Manufacturing startup,Tech,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,"$1,500,000",Seed
Planys,2015,Chennai,Maritime,Oil and energy,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,"Tanuj Jhunjhunwala, Vineet Upadhyay, Rakesh Sirikonda","Kieretsu Forum, Lets Venture, Shell","$1,600,000",Pre-series A
Do Your Thng,2018,Gurgaon,Marketing,Marketing,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network","$1,500,000",
Wobb,2020,Gurgaon,Marketing,Marketing,The platform for marketers to find and work with influencers,Ishan Jindal,"Alok Kohli, Sanjeev Bhargava","$200,000",Pre-seed
Mailmodo,2020,Bangalore,Marketing & Advertising,Marketing,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator","$2,000,000",Seed
ProfitWheel,2020,Mumbai,Marketing & Advertising,Marketing,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani","$3,000,000",Seed
Wondrlab,2020,Mumbai,Marketing & Advertising,Marketing,India's largest platform-first martech startup,Saurabh Varma,"Pi Ventures LLP, Tanas Capital, Prodapt Holdings","$7,000,000",Pre-series A
ExtraaEdge,2015,Pune,MarTech,IT,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,"Abhishek Ballabh, Sushil Mundada","9Unicorns Accelerator Fund, Indian Angel Network","$1,000,000",Pre-series A
Betterhalf.ai,2016,Bangalore,Matrimony,Social Network,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,"Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan","$3,000,000",Pre-series A
Zetwerk,2018,Bangalore,Mechanical & Industrial Engineering,Manufacturing,ZETWERK is a universal manufacturing network powered by new-age technology.,"Srinath Ramakkrushnan, Amrit Acharya",,"$150,000,000",Series E
Zetwerk,2018,Bangalore,Mechanical Or Industrial Engineering,Manufacturing,ZETWERK is a universal manufacturing network powered by new-age technology.,Amrit Acharya,TradeCred,"$600,000,000",
Tvasta,2016,Chennai,Mechanical Or Industrial Engineering,Manufacturing,Developing new-age manufacturing and automation technologies that can increase human productivity by allowing deep personalization.,"Vidyashankar C, Parivarthan Reddy, Adithya Jain",Habitat for Humanity International,"$400,000",
Knocksense,2016,Lucknow,Media,Media,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey","$200,000",
Pocket Aces,2013,Mumbai,Media,Media,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group","$2,000,000",
Inshorts,2013,Noida,Media,Media,Inshorts is a news aggregator application that collects and summarizes news based on user behavior and preferences.,"Anunay Pandey, Azhar Iqubal, Deepit Purkayastha","Addition, SIG Global India Fund","$40,000,000",
JetSynthesys,2014,Pune,Media,Media,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Rajan navani,Sachin Tendulkar,"$2,000,000",
NewsReach,2018,Ahmedabad,Media,Media,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,"$300,000",Seed
VerSe Innovation,2018,Bangalore,Media,Media,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,"Siguler Guff, Baillie Gifford","$450,000,000",
Khabri,2017,Gurgaon,Media,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",,"$2,000,000",Pre-series A
Crater.Club,2020,Bangalore,Media,Media,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.","Vignesh Prasad, Vivan Puri",LC Nueva AIF,"$700,000",Seed
ReDesyn,2016,Mumbai,Merchandise,Consumer Goods,"Merchandise drop-shipping platform for influencers, designers, creators & brands.","Smriti Dubey, Shikhar Vaidya",Anthill Ventures,"$300,000",Pre-series A
Puresh Daily,2019,Ranchi,Milk startup,Food,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners","$100,000",Seed
NimbleBox.ai,2018,Chennai,MLOps platform,IT,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,"$1,000,000",Seed
EsportsXO,2020,Bangalore,Mobile Games,Tech,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,"$1,100,000",Seed
Get My Parking,2015,New Delhi,Mobility,Services,"Get My Parking, is a B2B Platform-as-a-Service company.","Chirag Jain, Rasik Pansare","IvyCap Ventures, IAN Fund","$6,000,000",
Blaer Motors,2014,Chennai,Mobility,Services,Meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,"$300,000",
Zingbus,2019,Gurgaon,Mobility,Services,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,"$5,000,000",Pre-series A
Tummoc,2016,Bangalore,Mobility,Services,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim","$540,000",Seed
Chalo,2014,Mumbai,Mobility,Services,India’s #1 bus transport technology company.,"Vinayak Bhavnani, Mohit Dubey","Lightrock India, Filter Capital","$40,000,000",Series C
Tummoc,2016,Bangalore,Mobility,Services,Tummoc helps track and find actionable & accurate bus/metro/suburban rail intracity travel information.,"Hiranmay Mallick, Monalisha Thakur, Narayan Mishra","Vineet Singh, Krishna D, Deependra Bisht, Alan Aim","$540,000",Seed
Zoomcar,2012,Bangalore,Mobility,Services,Zoomcar holds the distinction of being India’s first personal mobility platform,Greg Moran,SternAegis Ventures,"$92,000,000",
Ola,2010,Bangalore,Mobility,Services,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Bhavish Aggarwal,Marquee international institutional investors,"$500,000,000",
MoEVing,2021,Gurgaon,Mobility,Services,"Vikash Mishra, Mragank Jain","Anshuman Maheshwary, Dr Srihari Raju Kalidindi",,,
Humit,2020,Bangalore,Music,Media,Humit is a social networking app for music sharing and discovery.,"Rohit Ganapathy, Prithvi Sankar, Ishaan Negi",Antler India,,Pre-seed
Artium Academy,2021,Mumbai,Music,Media,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital","$750,000",Seed
Artium Academy,2021,Mumbai,Music,Media,Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages.,"Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital","$750,000",Seed
Spry,2021,Mumbai,Music,Media,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover","$1,500,000",Seed
Spry,2021,Mumbai,Music,Media,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover","$1,500,000",Seed
Log 9 Materials,2014,Bangalore,Nanotechnology,Tech,Log9 Materials is on a mission to make global energy 100% clean.,Akshay Singhal,Petronas Ventures,"$2,000,000",
CoffeeMug.ai,2020,New Delhi,Networking,Social Network,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India","$620,000",Pre-seed
